task,version,threads,chunk,trial,time_ms,validation_max_relative_error
2,V1,1,1600,1,3.168339,4.0650901480201176e-15
2,V1,1,1600,2,3.125518,4.0650901480201176e-15
2,V1,1,1600,3,3.325358,4.0650901480201176e-15
2,V1,1,1600,4,3.432335,4.0650901480201176e-15
2,V1,1,1600,5,2.991184,4.0650901480201176e-15
2,V2,1,1600,1,3.125465,4.0650901480201176e-15
2,V2,1,1600,2,2.978696,4.0650901480201176e-15
2,V2,1,1600,3,3.997660,4.0650901480201176e-15
2,V2,1,1600,4,3.734051,4.0650901480201176e-15
2,V2,1,1600,5,3.325255,4.0650901480201176e-15
2,V3,1,1600,1,3.614887,4.0650901480201176e-15
2,V3,1,1600,2,3.808427,4.0650901480201176e-15
2,V3,1,1600,3,7.248151,4.0650901480201176e-15
2,V3,1,1600,4,3.935080,4.0650901480201176e-15
2,V3,1,1600,5,7.755274,4.0650901480201176e-15
2,BLAS,1,1600,1,1.193940,0
2,BLAS,1,1600,2,1.183108,0
2,BLAS,1,1600,3,2.041196,0
2,BLAS,1,1600,4,2.374911,0
2,BLAS,1,1600,5,2.200724,0
2,V2,2,800,1,1.877695,4.0650901480201176e-15
2,V2,2,800,2,2.706554,4.0650901480201176e-15
2,V2,2,800,3,1.801850,4.0650901480201176e-15
2,V2,2,800,4,1.929741,4.0650901480201176e-15
2,V2,2,800,5,5.860108,4.0650901480201176e-15
2,V3,2,800,1,2.425946,4.0650901480201176e-15
2,V3,2,800,2,2.221083,4.0650901480201176e-15
2,V3,2,800,3,2.045893,4.0650901480201176e-15
2,V3,2,800,4,2.825362,4.0650901480201176e-15
2,V3,2,800,5,2.994710,4.0650901480201176e-15
2,V2,4,400,1,2.071291,4.0650901480201176e-15
2,V2,4,400,2,1.670324,4.0650901480201176e-15
2,V2,4,400,3,2.079724,4.0650901480201176e-15
2,V2,4,400,4,2.428856,4.0650901480201176e-15
2,V2,4,400,5,3.212013,4.0650901480201176e-15
2,V3,4,400,1,1.838632,4.0650901480201176e-15
2,V3,4,400,2,2.185405,4.0650901480201176e-15
2,V3,4,400,3,1.599425,4.0650901480201176e-15
2,V3,4,400,4,1.587644,4.0650901480201176e-15
2,V3,4,400,5,1.695533,4.0650901480201176e-15
2,V2,8,200,1,2.841094,4.0650901480201176e-15
2,V2,8,200,2,5.082955,4.0650901480201176e-15
2,V2,8,200,3,2.024699,4.0650901480201176e-15
2,V2,8,200,4,4.114814,4.0650901480201176e-15
2,V2,8,200,5,2.013933,4.0650901480201176e-15
2,V3,8,200,1,2.966511,4.0650901480201176e-15
2,V3,8,200,2,3.101664,4.0650901480201176e-15
2,V3,8,200,3,1.895846,4.0650901480201176e-15
2,V3,8,200,4,1.962197,4.0650901480201176e-15
2,V3,8,200,5,4.848345,4.0650901480201176e-15
