task,version,threads,chunk,trial,time_ms,validation_max_relative_error
1,V1,1,20000000,1,45.014600,2.2204449326477702e-16
1,V1,1,20000000,2,51.117509,2.2204449326477702e-16
1,V1,1,20000000,3,79.327197,2.2204449326477702e-16
1,V1,1,20000000,4,63.625115,2.2204449326477702e-16
1,V1,1,20000000,5,53.096983,2.2204449326477702e-16
1,V2,1,20000000,1,47.735566,2.2204449326477702e-16
1,V2,1,20000000,2,53.215006,2.2204449326477702e-16
1,V2,1,20000000,3,52.064509,2.2204449326477702e-16
1,V2,1,20000000,4,55.581496,2.2204449326477702e-16
1,V2,1,20000000,5,50.404226,2.2204449326477702e-16
1,V3,1,20000000,1,58.401903,2.2204449326477702e-16
1,V3,1,20000000,2,63.120045,2.2204449326477702e-16
1,V3,1,20000000,3,54.469508,2.2204449326477702e-16
1,V3,1,20000000,4,48.914425,2.2204449326477702e-16
1,V3,1,20000000,5,65.160854,2.2204449326477702e-16
1,BLAS,1,20000000,1,45.305817,0
1,BLAS,1,20000000,2,41.191931,0
1,BLAS,1,20000000,3,40.153442,0
1,BLAS,1,20000000,4,94.059748,0
1,BLAS,1,20000000,5,38.866209,0
1,V2,2,10000000,1,47.728093,2.2204449326477702e-16
1,V2,2,10000000,2,65.988104,2.2204449326477702e-16
1,V2,2,10000000,3,54.874761,2.2204449326477702e-16
1,V2,2,10000000,4,52.276444,2.2204449326477702e-16
1,V2,2,10000000,5,71.127588,2.2204449326477702e-16
1,V3,2,10000000,1,45.044532,2.2204449326477702e-16
1,V3,2,10000000,2,63.615896,2.2204449326477702e-16
1,V3,2,10000000,3,59.969667,2.2204449326477702e-16
1,V3,2,10000000,4,64.513987,2.2204449326477702e-16
1,V3,2,10000000,5,60.326922,2.2204449326477702e-16
1,V2,4,5000000,1,47.251299,2.2204449326477702e-16
1,V2,4,5000000,2,46.629954,2.2204449326477702e-16
1,V2,4,5000000,3,68.611779,2.2204449326477702e-16
1,V2,4,5000000,4,48.624601,2.2204449326477702e-16
1,V2,4,5000000,5,56.884491,2.2204449326477702e-16
1,V3,4,5000000,1,56.923105,2.2204449326477702e-16
1,V3,4,5000000,2,53.636334,2.2204449326477702e-16
1,V3,4,5000000,3,41.050029,2.2204449326477702e-16
1,V3,4,5000000,4,41.279999,2.2204449326477702e-16
1,V3,4,5000000,5,44.631112,2.2204449326477702e-16
1,V2,8,2500000,1,54.076003,2.2204449326477702e-16
1,V2,8,2500000,2,49.779217,2.2204449326477702e-16
1,V2,8,2500000,3,48.484589,2.2204449326477702e-16
1,V2,8,2500000,4,51.836066,2.2204449326477702e-16
1,V2,8,2500000,5,43.627940,2.2204449326477702e-16
1,V3,8,2500000,1,59.730214,2.2204449326477702e-16
1,V3,8,2500000,2,62.054463,2.2204449326477702e-16
1,V3,8,2500000,3,56.300913,2.2204449326477702e-16
1,V3,8,2500000,4,58.414385,2.2204449326477702e-16
1,V3,8,2500000,5,62.866940,2.2204449326477702e-16
