task,version,threads,chunk,trial,time_ms,validation_max_relative_error
4,V1,1,2000000,1,25.026868,0
4,V1,1,2000000,2,25.322045,0
4,V1,1,2000000,3,28.412130,0
4,V1,1,2000000,4,24.658738,0
4,V1,1,2000000,5,19.393419,0
4,V2,1,2000000,1,40.032343,0
4,V2,1,2000000,2,34.160883,0
4,V2,1,2000000,3,25.445686,0
4,V2,1,2000000,4,27.141704,0
4,V2,1,2000000,5,23.399680,0
4,V3,1,2000000,1,38.266764,0
4,V3,1,2000000,2,39.207641,0
4,V3,1,2000000,3,40.360619,0
4,V3,1,2000000,4,40.917436,0
4,V3,1,2000000,5,33.248406,0
4,V2,2,1000000,1,58.778823,0
4,V2,2,1000000,2,20.122708,0
4,V2,2,1000000,3,24.752189,0
4,V2,2,1000000,4,27.472886,0
4,V2,2,1000000,5,17.586726,0
4,V3,2,1000000,1,25.064922,0
4,V3,2,1000000,2,26.201832,0
4,V3,2,1000000,3,22.499988,0
4,V3,2,1000000,4,27.290807,0
4,V3,2,1000000,5,25.791421,0
4,V2,4,500000,1,21.565782,0
4,V2,4,500000,2,23.154583,0
4,V2,4,500000,3,18.986181,0
4,V2,4,500000,4,24.342312,0
4,V2,4,500000,5,22.318855,0
4,V3,4,500000,1,16.237227,0
4,V3,4,500000,2,22.917909,0
4,V3,4,500000,3,22.476695,0
4,V3,4,500000,4,19.794585,0
4,V3,4,500000,5,22.045882,0
4,V2,8,250000,1,15.284594,0
4,V2,8,250000,2,22.897515,0
4,V2,8,250000,3,15.569843,0
4,V2,8,250000,4,19.566591,0
4,V2,8,250000,5,15.872141,0
4,V3,8,250000,1,15.926410,0
4,V3,8,250000,2,16.940971,0
4,V3,8,250000,3,16.438667,0
4,V3,8,250000,4,16.563394,0
4,V3,8,250000,5,14.875682,0
